New Interviewee Case Study Dataset FINAL (2),,,,,,,,,,,,,,,,,,,
Age,Gender,MonthlyIncome,Department,NumCompaniesWorked,Over18,workingfromhome,BusinessTravel,DistanceFromHome,StandardHours,JobSatisfaction,complaintfiled,complaintresolved,complaintyears,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Left
31,Female,medium,Research & Development,1,Y,1,Travel_Rarely,8,40,4,0,,,23,5,11,11,1,No
24,Male,medium,Research & Development,1,Y,1,Travel_Rarely,29,40,1,0,,,13,2,6,6,1,No
52,Male,low,Sales,2,Y,0,Non-Travel,29,40,4,0,,,15,3,16,9,0,No
35,Male,medium,Sales,0,Y,0,Travel_Rarely,1,40,1,0,,,14,3,16,15,2,No
41,Male,high,Sales,2,Y,1,Travel_Rarely,3,40,2,0,,,11,1,14,5,0,No
31,Female,medium,Research & Development,8,Y,0,Travel_Rarely,4,40,3,0,,,12,1,4,2,2,No
48,Female,high,Research & Development,3,Y,0,Travel_Frequently,22,40,4,0,,,11,1,24,22,4,No
42,Male,low,Research & Development,6,Y,0,Travel_Frequently,19,40,3,1,Y,2,12,2,7,2,2,Yes
35,Male,low,Research & Development,1,Y,1,Travel_Rarely,1,40,3,0,,,18,4,6,6,0,No
34,Male,medium,Research & Development,1,Y,0,Travel_Frequently,10,40,4,0,,,13,2,9,9,7,No
39,Female,medium,Sales,6,Y,1,Non-Travel,21,40,3,1,Y,2,19,4,10,3,1,No
33,Male,high,Research & Development,0,Y,1,Travel_Rarely,7,40,3,0,,,11,1,14,13,3,No
28,Female,medium,Research & Development,0,Y,0,Non-Travel,1,40,4,1,N,0,11,1,10,9,7,No
53,Male,high,Research & Development,3,Y,1,Travel_Rarely,7,40,3,1,Y,1,19,4,32,5,1,No
31,Male,high,Sales,9,Y,0,Travel_Rarely,7,40,4,0,,,21,5,10,5,0,No
32,Male,low,Research & Development,1,Y,0,Travel_Rarely,2,40,2,0,,,12,1,1,1,0,Yes
27,Male,high,Sales,1,Y,1,Travel_Frequently,8,40,3,1,Y,0,15,3,9,9,1,No
35,Male,medium,Research & Development,9,Y,0,Travel_Rarely,9,40,2,0,,,19,4,10,1,0,No
50,Female,medium,Sales,0,Y,0,Non-Travel,1,40,3,1,Y,2,12,2,19,18,0,No
33,Female,high,Research & Development,1,Y,1,Travel_Frequently,1,40,4,0,,,12,2,15,15,8,No
28,Male,medium,Sales,1,Y,1,Travel_Rarely,26,40,1,0,,,11,1,5,5,0,No
23,Male,low,Research & Development,2,Y,1,Travel_Rarely,10,40,3,1,Y,2,16,4,4,2,2,No
47,Male,medium,Sales,7,Y,1,Non-Travel,2,40,2,0,,,11,1,4,1,0,No
32,Female,low,Research & Development,3,Y,1,Travel_Rarely,5,40,4,0,,,17,4,6,3,0,No
37,Male,medium,Research & Development,5,Y,1,Non-Travel,2,40,4,0,,,14,2,17,1,0,No
29,Female,low,Research & Development,6,Y,0,Travel_Rarely,7,40,4,0,,,14,3,8,4,0,No
48,Male,low,Research & Development,4,Y,0,Travel_Rarely,20,40,3,0,,,17,4,13,0,0,No
50,Male,high,Sales,4,Y,1,Travel_Rarely,28,40,1,0,,,13,2,20,3,2,Yes
31,Male,low,Research & Development,1,Y,0,Travel_Rarely,1,40,1,0,,,12,2,4,4,3,No
29,Male,high,Research & Development,1,Y,1,Travel_Rarely,3,40,3,0,,,18,4,10,10,0,No
47,Female,high,Research & Development,8,Y,1,Travel_Rarely,4,40,2,0,,,12,1,28,22,14,No
39,Female,medium,Research & Development,4,Y,0,Travel_Rarely,6,40,2,0,,,18,4,9,2,2,No
34,Female,low,Human Resources,1,Y,0,Travel_Rarely,9,40,3,0,,,15,3,2,2,2,Yes
50,Male,medium,Research & Development,2,Y,0,Travel_Rarely,1,40,3,0,,,15,3,5,3,0,No
42,Male,high,Research & Development,8,Y,1,Travel_Rarely,9,40,4,1,N,,22,5,24,1,0,No
28,Male,medium,Sales,1,Y,1,Travel_Rarely,9,40,4,0,,,16,4,7,7,0,No
33,Female,medium,Research & Development,0,Y,1,Travel_Rarely,1,40,4,0,,,14,3,6,5,1,No
39,Female,high,Sales,0,Y,1,Travel_Rarely,24,40,4,0,,,11,1,21,20,9,No
58,Male,high,Sales,0,Y,1,Travel_Rarely,10,40,3,1,N,2,13,2,38,37,1,No
37,Male,medium,Research & Development,5,Y,0,Travel_Rarely,7,40,1,1,N,1,22,5,16,5,0,No
32,Male,medium,Sales,1,Y,0,Travel_Frequently,5,40,2,0,,,14,3,10,10,5,No
29,Male,low,Research & Development,3,Y,1,Travel_Rarely,7,40,1,0,,,14,3,11,3,1,No
46,Female,high,Sales,2,Y,1,Travel_Rarely,10,40,4,0,,,19,5,15,3,1,No
25,Male,medium,Sales,2,Y,0,Travel_Rarely,18,40,3,0,,,11,1,6,3,1,No
31,Female,medium,Research & Development,1,Y,1,Travel_Frequently,3,40,3,0,,,12,2,7,7,7,Yes
37,Female,medium,Research & Development,4,Y,0,Travel_Rarely,11,40,3,0,,,18,4,8,3,0,No
49,Female,medium,Sales,3,Y,0,Travel_Rarely,11,40,4,0,,,12,2,8,5,0,No
45,Male,high,Sales,4,Y,0,Travel_Rarely,9,40,1,0,,,12,1,18,5,0,No
35,Male,medium,Sales,6,Y,0,Travel_Rarely,3,40,4,0,,,13,2,12,10,0,No
46,Female,low,Human Resources,6,Y,0,Travel_Rarely,1,40,1,1,Y,0,12,1,10,7,5,No
43,Female,medium,Research & Development,1,Y,1,Travel_Rarely,6,40,3,0,,,14,3,20,20,1,No
31,Female,medium,Research & Development,2,Y,1,Travel_Frequently,24,40,4,0,,,12,5,9,5,1,Yes
47,Female,low,Research & Development,4,Y,0,Travel_Rarely,9,40,3,0,,,12,2,7,2,2,No
29,Female,medium,Research & Development,1,Y,1,Travel_Rarely,28,40,1,0,,,14,3,5,5,0,No
44,Male,low,Research & Development,1,Y,1,Travel_Rarely,20,40,2,0,,,13,2,6,5,1,No
36,Male,medium,Research & Development,8,Y,0,Travel_Rarely,5,40,2,0,,,16,3,16,13,3,No
28,Male,low,Research & Development,1,Y,0,Travel_Rarely,21,40,4,0,,,11,1,5,5,0,No
37,Male,medium,Research & Development,3,Y,0,Travel_Rarely,19,40,3,0,,,17,4,9,4,0,No
42,Male,medium,Research & Development,4,Y,0,Travel_Rarely,8,40,3,1,N,,13,2,8,0,0,No
28,Female,medium,Research & Development,3,Y,0,Travel_Rarely,10,40,3,0,,,13,2,10,8,1,No
39,Male,high,Research & Development,1,Y,1,Travel_Rarely,10,40,1,1,Y,0,14,3,21,21,11,No
31,Female,medium,Research & Development,1,Y,0,Travel_Rarely,7,40,4,0,,,14,3,11,11,4,No
32,Female,medium,Research & Development,1,Y,0,Travel_Rarely,9,40,4,0,,,12,2,6,6,0,No
29,Male,low,Research & Development,6,Y,0,Travel_Rarely,9,40,3,0,,,18,4,5,1,0,No
31,Male,medium,Sales,2,Y,1,Travel_Rarely,16,40,3,0,,,13,2,10,1,0,Yes
40,Male,medium,Sales,5,Y,1,Travel_Frequently,2,40,2,0,,,12,1,5,0,0,No
39,Male,medium,Research & Development,0,Y,0,Travel_Rarely,23,40,1,0,,,13,2,6,5,0,Yes
35,Male,low,Research & Development,0,Y,1,Travel_Rarely,23,40,3,0,,,16,3,6,5,0,No
35,Female,medium,Research & Development,5,Y,1,Travel_Frequently,2,40,2,0,,,11,1,10,6,1,No
42,Male,low,Research & Development,4,Y,0,Travel_Frequently,5,40,3,0,,,17,4,8,2,2,No
29,Male,low,Human Resources,1,Y,1,Travel_Rarely,6,40,2,0,,,11,1,1,1,0,No
52,Female,low,Research & Development,9,Y,0,Travel_Rarely,8,40,1,0,,,13,2,12,5,0,No
49,Male,medium,Research & Development,1,Y,0,Non-Travel,18,40,4,0,,,15,3,7,7,1,No
26,Female,low,Research & Development,1,Y,0,Travel_Rarely,1,40,3,0,,,13,2,1,1,1,No
41,Female,high,Sales,0,Y,1,Travel_Rarely,4,40,3,0,,,13,2,23,22,13,No
59,Female,medium,Sales,7,Y,0,Travel_Rarely,25,40,1,0,,,11,1,28,21,7,No
40,Male,high,Research & Development,2,Y,1,Travel_Rarely,1,40,1,0,,,11,1,22,19,11,No
19,Male,low,Sales,1,Y,1,Travel_Rarely,21,40,2,1,Y,0,13,2,1,1,0,Yes
36,Male,low,Research & Development,1,Y,0,Non-Travel,9,40,2,0,,,22,5,5,5,0,No
38,Female,high,Research & Development,3,Y,0,Travel_Rarely,25,40,2,0,,,17,4,19,10,0,No
24,Male,low,Research & Development,0,Y,0,Non-Travel,4,40,4,1,N,1,17,4,6,5,3,No
30,Male,low,Sales,1,Y,1,Travel_Rarely,2,40,2,0,,,18,4,1,1,0,No
21,Female,low,Research & Development,1,Y,0,Travel_Rarely,1,40,2,0,,,11,1,2,2,2,No
29,Male,high,Research & Development,1,Y,0,Travel_Frequently,2,40,4,0,,,19,5,6,6,1,No
27,Male,medium,Sales,3,Y,0,Travel_Frequently,2,40,4,0,,,20,5,8,6,0,No
43,Female,low,Research & Development,0,Y,0,Travel_Frequently,10,40,4,0,,,19,4,9,8,1,No
55,Male,high,Human Resources,4,Y,1,Travel_Rarely,26,40,2,1,N,1,18,4,35,10,1,No
45,Female,high,Sales,3,Y,1,Travel_Rarely,11,40,4,0,,,13,2,26,9,1,No
43,Male,medium,Sales,1,Y,0,Travel_Frequently,2,40,4,0,,,20,5,7,7,7,No
46,Male,medium,Sales,4,Y,1,Travel_Frequently,5,40,4,1,Y,1,21,5,14,9,0,No
32,Male,medium,Sales,0,Y,1,Travel_Frequently,9,40,4,0,,,17,4,9,8,0,No
33,Male,high,Sales,1,Y,1,Non-Travel,17,40,3,0,,,11,1,10,10,6,No
29,Female,medium,Research & Development,0,Y,0,Travel_Rarely,15,40,3,0,,,12,2,10,9,0,No
49,Female,medium,Research & Development,2,Y,0,Travel_Rarely,1,40,1,0,,,16,3,7,4,0,No
49,Female,medium,Research & Development,4,Y,0,Travel_Rarely,8,40,2,0,,,11,1,29,26,1,No
21,Male,low,Research & Development,1,Y,0,Travel_Rarely,5,40,4,0,,,18,4,3,2,2,No
41,Female,low,Sales,1,Y,1,Travel_Rarely,20,40,2,0,,,22,5,4,4,0,Yes
58,Female,high,Research & Development,7,Y,0,Travel_Rarely,7,40,1,0,,,14,3,31,10,5,Yes
26,Male,medium,Research & Development,1,Y,1,Travel_Rarely,1,40,1,1,Y,0,16,3,6,5,1,No
35,Male,high,Research & Development,2,Y,0,Travel_Frequently,18,40,4,0,,,11,1,10,2,2,No
46,Male,high,Research & Development,6,Y,1,Travel_Rarely,2,40,3,0,,,13,2,26,3,0,No
55,Male,high,Research & Development,8,Y,0,Travel_Rarely,14,40,2,0,,,11,1,36,24,2,No
41,Female,high,Research & Development,1,Y,1,Non-Travel,7,40,3,0,,,22,5,21,21,5,No
32,Male,medium,Sales,6,Y,0,Travel_Rarely,1,40,2,0,,,15,3,10,0,0,Yes
34,Female,low,Research & Development,2,Y,0,Travel_Rarely,1,40,4,0,,,16,3,10,4,1,No
44,Male,medium,Research & Development,9,Y,0,Travel_Rarely,4,40,2,0,,,12,2,10,5,2,No
34,Male,low,Research & Development,1,Y,0,Travel_Rarely,10,40,2,0,,,14,2,1,1,1,No
35,Male,medium,Human Resources,1,Y,1,Travel_Rarely,8,40,3,0,,,17,4,6,5,1,No
24,Female,medium,Sales,9,Y,0,Travel_Rarely,3,40,3,1,N,,14,2,4,2,2,Yes
31,Female,low,Sales,7,Y,1,Travel_Frequently,2,40,4,0,,,14,3,3,1,0,Yes
30,Female,medium,Sales,7,Y,1,Travel_Rarely,7,40,1,0,,,14,3,8,3,0,No
36,Male,medium,Research & Development,4,Y,0,Travel_Rarely,3,40,2,0,,,12,1,10,8,7,No
56,Male,high,Research & Development,7,Y,0,Travel_Rarely,9,40,4,0,,,11,1,30,10,1,No
34,Female,low,Research & Development,5,Y,1,Travel_Rarely,1,40,2,0,,,17,4,7,5,0,No
28,Female,medium,Sales,1,Y,1,Travel_Rarely,2,40,2,0,,,20,5,8,8,7,No
42,Male,medium,Sales,0,Y,1,Travel_Rarely,8,40,2,0,,,11,1,10,9,4,No
34,Male,medium,Research & Development,1,Y,1,Travel_Rarely,1,40,2,1,Y,2,15,3,5,5,1,No
52,Female,low,Research & Development,8,Y,0,Travel_Rarely,11,40,3,1,Y,0,20,5,9,5,1,No
24,Male,low,Research & Development,2,Y,0,Travel_Frequently,9,40,1,0,,,11,1,4,0,0,Yes
27,Female,high,Sales,1,Y,1,Travel_Frequently,20,40,3,0,,,14,3,7,7,0,No
36,Female,medium,Research & Development,7,Y,0,Travel_Frequently,4,40,2,0,,,13,2,18,4,0,No
37,Male,high,Research & Development,4,Y,1,Travel_Rarely,7,40,3,0,,,13,2,16,5,0,No
44,Male,medium,Research & Development,2,Y,0,Non-Travel,24,40,3,0,,,14,3,9,5,1,No
27,Female,medium,Sales,1,Y,1,Travel_Rarely,10,40,4,0,,,11,1,6,6,4,No
30,Male,medium,Research & Development,1,Y,0,Travel_Rarely,1,40,2,1,N,1,13,2,12,12,1,No
41,Male,medium,Sales,1,Y,1,Non-Travel,10,40,2,0,,,13,2,19,19,11,No
47,Female,high,Research & Development,0,Y,0,Non-Travel,1,40,2,0,,,18,4,14,13,5,No
18,Male,low,Research & Development,1,Y,1,Travel_Rarely,3,40,3,1,Y,,13,2,0,0,0,Yes
25,Male,low,Research & Development,1,Y,0,Travel_Rarely,7,40,4,0,,,11,1,2,2,2,No
29,Male,medium,Sales,1,Y,1,Non-Travel,2,40,3,0,,,14,3,4,4,0,No
33,Female,low,Research & Development,3,Y,1,Travel_Rarely,13,40,4,0,,,18,4,5,3,0,No
48,Male,medium,Research & Development,2,Y,1,Travel_Rarely,6,40,3,1,Y,2,13,2,19,2,2,No
32,Male,low,Research & Development,6,Y,0,Travel_Frequently,10,40,3,0,,,13,2,10,5,1,No
32,Female,low,Research & Development,1,Y,0,Travel_Frequently,13,40,2,0,,,20,5,2,2,2,No
27,Female,medium,Research & Development,1,Y,1,Travel_Rarely,1,40,1,0,,,11,1,9,9,0,No
36,Female,high,Sales,3,Y,0,Travel_Rarely,3,40,2,1,Y,0,16,4,15,5,0,No
28,Male,low,Research & Development,1,Y,0,Travel_Rarely,5,40,3,0,,,13,2,2,2,2,Yes
39,Female,low,Research & Development,7,Y,0,Travel_Rarely,1,40,3,1,Y,0,14,3,7,3,1,No
43,Female,high,Sales,3,Y,1,Travel_Rarely,4,40,4,0,,,14,2,23,21,15,No
24,Female,medium,Research & Development,0,Y,1,Non-Travel,11,40,3,1,N,0,18,4,5,4,1,No
55,Male,high,Research & Development,8,Y,0,Travel_Rarely,2,40,1,0,,,12,1,34,1,0,No
31,Male,high,Sales,1,Y,0,Travel_Rarely,8,40,4,1,Y,2,18,4,13,13,9,No
27,Male,low,Research & Development,1,Y,0,Non-Travel,3,40,3,0,,,15,3,1,1,0,No
39,Male,medium,Sales,2,Y,0,Travel_Rarely,6,40,3,0,,,11,1,11,7,7,No
31,Male,high,Research & Development,0,Y,0,Non-Travel,5,40,1,0,,,19,5,10,9,1,No
46,Female,high,Research & Development,4,Y,1,Travel_Rarely,21,40,2,0,,,22,5,13,9,3,Yes
35,Female,medium,Sales,1,Y,0,Travel_Rarely,18,40,3,0,,,16,4,5,5,1,No
38,Male,medium,Research & Development,2,Y,1,Travel_Frequently,12,40,1,1,Y,1,15,3,13,4,1,No
30,Male,low,Research & Development,1,Y,0,Travel_Rarely,9,40,3,0,,,13,2,10,10,1,No
21,Female,low,Research & Development,1,Y,1,Travel_Frequently,10,40,3,0,,,20,5,2,2,2,Yes
24,Female,medium,Research & Development,1,Y,0,Travel_Frequently,2,40,4,0,,,13,2,6,6,1,No
37,Male,high,Sales,5,Y,0,Travel_Rarely,1,40,3,0,,,11,1,17,14,11,Yes
56,Male,low,Research & Development,8,Y,1,Travel_Rarely,7,40,3,0,,,11,1,14,10,9,Yes
30,Female,medium,Research & Development,7,Y,0,Non-Travel,9,40,3,1,N,2,18,4,10,8,1,No
29,Female,low,Research & Development,9,Y,1,Travel_Rarely,9,40,3,0,,,17,4,9,5,1,No
35,Male,medium,Research & Development,1,Y,1,Travel_Frequently,18,40,3,0,,,14,3,10,10,0,No
39,Female,medium,Human Resources,9,Y,0,Travel_Rarely,3,40,2,0,,,15,3,12,8,3,No
22,Male,low,Research & Development,1,Y,0,Travel_Rarely,19,40,4,0,,,24,5,2,2,2,No
44,Female,medium,Research & Development,1,Y,1,Travel_Rarely,2,40,4,0,,,19,4,9,8,6,No
42,Male,low,Research & Development,5,Y,0,Travel_Frequently,2,40,4,0,,,14,3,8,2,2,No
27,Male,low,Research & Development,1,Y,0,Non-Travel,3,40,4,0,,,11,1,0,0,0,No
42,Female,medium,Research & Development,9,Y,1,Travel_Rarely,1,40,4,0,,,13,2,8,4,0,No
55,Male,high,Research & Development,5,Y,0,Travel_Rarely,2,40,1,0,,,13,2,24,5,1,Yes
41,Female,high,Research & Development,0,Y,0,Travel_Rarely,28,40,2,0,,,23,5,21,20,0,No
31,Male,low,Research & Development,3,Y,0,Travel_Rarely,11,40,4,1,Y,0,19,4,8,6,0,No
40,Male,low,Research & Development,8,Y,0,Travel_Rarely,19,40,4,0,,,15,3,15,7,3,No
31,Female,low,Sales,1,Y,1,Travel_Frequently,5,40,2,0,,,11,1,2,2,2,No
22,Male,medium,Research & Development,6,Y,0,Travel_Rarely,1,40,4,0,,,22,5,4,2,2,No
36,Male,medium,Sales,5,Y,1,Travel_Rarely,13,40,1,0,,,13,2,16,2,2,Yes
49,Female,high,Research & Development,9,Y,0,Travel_Frequently,10,40,1,0,,,11,1,22,3,1,No
29,Female,medium,Sales,1,Y,0,Travel_Rarely,27,40,4,0,,,22,5,10,10,1,Yes
36,Female,medium,Sales,2,Y,0,Travel_Frequently,7,40,1,0,,,16,3,17,15,6,No
56,Male,high,Research & Development,4,Y,0,Travel_Rarely,23,40,2,1,Y,2,12,2,33,19,15,No
42,Male,high,Sales,6,Y,1,Travel_Rarely,5,40,3,0,,,13,2,21,1,0,No
30,Female,medium,Research & Development,2,Y,0,Travel_Rarely,2,40,4,0,,,20,5,11,5,0,No
42,Female,medium,Research & Development,1,Y,0,Travel_Frequently,9,40,4,0,,,13,2,12,12,5,No
24,Female,medium,Sales,0,Y,1,Travel_Rarely,3,40,3,0,,,21,5,4,3,0,No
36,Male,low,Research & Development,4,Y,0,Travel_Rarely,2,40,3,0,,,21,5,16,11,3,No
30,Male,low,Human Resources,0,Y,0,Travel_Rarely,1,40,3,1,N,2,21,5,6,5,1,No
50,Female,high,Research & Development,3,Y,0,Travel_Rarely,11,40,2,0,,,15,3,21,5,4,No
36,Female,medium,Sales,3,Y,0,Travel_Rarely,2,40,4,0,,,15,3,17,13,6,No
51,Female,high,Research & Development,2,Y,0,Travel_Rarely,3,40,3,1,Y,0,11,1,15,2,2,No
30,Female,high,Research & Development,1,Y,1,Travel_Rarely,17,40,1,0,,,23,5,9,9,0,No
45,Male,low,Research & Development,5,Y,0,Travel_Rarely,29,40,4,0,,,13,2,9,6,0,No
34,Male,medium,Sales,1,Y,0,Travel_Rarely,1,40,3,0,,,14,3,10,10,8,No
26,Female,low,Research & Development,1,Y,0,Travel_Rarely,6,40,4,0,,,13,2,3,3,0,No
36,Male,low,Sales,3,Y,0,Travel_Rarely,2,40,4,0,,,21,5,7,3,1,No
32,Male,high,Research & Development,2,Y,1,Travel_Rarely,10,40,4,0,,,25,5,10,5,0,No
59,Female,high,Human Resources,9,Y,0,Non-Travel,2,40,4,0,,,14,5,30,3,2,Yes
47,Male,medium,Sales,2,Y,0,Travel_Rarely,14,40,1,0,,,12,1,20,7,1,No
30,Male,low,Research & Development,1,Y,1,Non-Travel,7,40,3,0,,,13,2,1,1,0,No
28,Female,medium,Research & Development,0,Y,1,Travel_Rarely,3,40,2,1,N,0,17,4,10,9,1,No
32,Male,low,Research & Development,3,Y,1,Travel_Rarely,6,40,3,0,,,20,5,8,5,1,No
26,Male,medium,Sales,1,Y,1,Travel_Rarely,28,40,2,0,,,20,5,6,5,1,No
31,Female,high,Sales,1,Y,0,Non-Travel,2,40,3,0,,,19,4,10,10,9,No
54,Female,high,Sales,6,Y,0,Travel_Rarely,2,40,3,0,,,11,1,13,9,7,No
22,Female,low,Research & Development,1,Y,0,Travel_Rarely,8,40,1,0,,,17,4,1,1,0,Yes
32,Female,low,Sales,1,Y,0,Non-Travel,2,40,1,0,,,12,1,1,1,0,No
35,Male,high,Sales,9,Y,1,Travel_Rarely,10,40,1,0,,,17,4,15,13,6,Yes
44,Male,medium,Human Resources,4,Y,0,Travel_Frequently,1,40,4,0,,,11,1,14,10,0,No
35,Male,low,Research & Development,7,Y,0,Travel_Rarely,11,40,3,0,,,11,1,5,2,2,No
35,Female,medium,Sales,0,Y,0,Travel_Frequently,18,40,3,1,N,,18,4,5,4,3,Yes
29,Male,medium,Research & Development,1,Y,1,Travel_Rarely,7,40,4,0,,,11,1,6,6,1,No
33,Male,medium,Research & Development,1,Y,0,Travel_Frequently,7,40,3,1,Y,0,20,5,9,9,2,No
32,Male,medium,Research & Development,0,Y,1,Travel_Rarely,1,40,3,0,,,14,3,4,3,1,Yes
34,Male,high,Research & Development,0,Y,1,Travel_Rarely,9,40,4,0,,,11,1,10,9,1,No
50,Male,medium,Sales,3,Y,0,Travel_Frequently,8,40,3,1,Y,1,14,3,18,4,1,Yes
31,Male,medium,Sales,4,Y,0,Travel_Rarely,7,40,4,0,,,11,1,10,8,7,No
33,Female,medium,Sales,5,Y,1,Travel_Rarely,16,40,1,0,,,15,3,6,3,0,Yes
31,Female,medium,Research & Development,2,Y,1,Travel_Frequently,24,40,4,0,,,20,5,9,5,1,No
28,Male,low,Research & Development,1,Y,1,Travel_Frequently,6,40,3,0,,,14,3,3,3,0,No
53,Female,high,Research & Development,6,Y,0,Travel_Rarely,23,40,4,0,,,18,4,33,12,3,No
45,Female,high,Research & Development,3,Y,1,Travel_Frequently,25,40,2,0,,,22,5,22,0,0,No
55,Female,high,Research & Development,2,Y,0,Travel_Rarely,8,40,3,1,Y,0,14,3,21,5,0,No
54,Male,medium,Research & Development,3,Y,0,Travel_Rarely,1,40,3,0,,,13,5,13,12,2,Yes
31,Male,medium,Sales,1,Y,0,Travel_Rarely,5,40,3,1,Y,2,19,4,6,5,0,No
32,Male,low,Research & Development,4,Y,1,Travel_Rarely,2,40,1,0,,,13,2,9,6,0,No
31,Female,medium,Research & Development,8,Y,0,Travel_Rarely,12,40,4,1,Y,1,23,5,7,4,0,No
26,Male,medium,Sales,1,Y,0,Travel_Frequently,1,40,1,0,,,12,1,7,7,0,No
21,Female,low,Research & Development,1,Y,0,Travel_Rarely,18,40,4,0,,,19,4,1,1,0,Yes
39,Female,medium,Research & Development,1,Y,1,Travel_Frequently,8,40,3,0,,,11,1,8,8,0,No
33,Male,medium,Sales,0,Y,1,Travel_Rarely,8,40,3,0,,,12,2,6,5,1,No
45,Female,low,Research & Development,1,Y,1,Travel_Rarely,2,40,3,1,Y,0,14,3,1,1,0,No
35,Female,low,Research & Development,1,Y,0,Travel_Rarely,2,40,1,0,,,12,2,1,1,0,Yes
36,Male,medium,Research & Development,6,Y,1,Travel_Rarely,27,40,3,0,,,13,2,17,7,7,No
51,Female,medium,Sales,4,Y,0,Travel_Rarely,14,40,4,0,,,11,1,18,7,0,No
33,Male,low,Human Resources,3,Y,0,Travel_Rarely,3,40,2,0,,,11,1,7,4,0,No
34,Male,medium,Sales,0,Y,1,Non-Travel,23,40,3,0,,,20,5,10,9,8,No
31,Female,medium,Sales,1,Y,1,Travel_Rarely,5,40,4,0,,,11,1,10,10,0,No
34,Male,medium,Sales,3,Y,0,Travel_Rarely,3,40,1,0,,,18,4,15,13,3,No
54,Female,high,Research & Development,7,Y,0,Travel_Frequently,1,40,3,0,,,17,4,33,5,1,No
40,Female,medium,Research & Development,6,Y,0,Travel_Rarely,16,40,4,0,,,15,3,18,4,3,No
56,Female,medium,Research & Development,9,Y,0,Travel_Rarely,14,40,2,1,Y,1,18,4,7,5,4,Yes
43,Male,high,Research & Development,6,Y,0,Travel_Rarely,14,40,1,0,,,24,5,22,4,1,No
30,Female,low,Research & Development,0,Y,0,Non-Travel,2,40,4,0,,,14,3,12,11,6,No
21,Male,low,Sales,1,Y,1,Travel_Rarely,7,40,2,0,,,13,2,1,1,1,Yes
38,Male,medium,Research & Development,3,Y,1,Travel_Rarely,29,40,4,1,Y,0,18,4,9,7,1,No
31,Male,medium,Sales,4,Y,0,Travel_Rarely,2,40,4,1,Y,2,13,2,10,6,0,No
40,Male,medium,Research & Development,1,Y,0,Travel_Rarely,2,40,4,0,,,13,2,9,9,8,No
29,Male,low,Sales,1,Y,0,Travel_Rarely,10,40,3,0,,,11,1,1,1,0,No
53,Female,high,Research & Development,4,Y,0,Travel_Rarely,5,40,3,0,,,11,1,26,14,4,No
39,Female,medium,Research & Development,0,Y,0,Travel_Frequently,4,40,3,0,,,13,2,10,9,3,No
42,Male,high,Research & Development,0,Y,0,Non-Travel,2,40,3,0,,,13,2,21,20,2,No
27,Male,low,Research & Development,1,Y,1,Travel_Rarely,14,40,1,0,,,14,2,9,9,6,No
49,Female,high,Research & Development,7,Y,1,Travel_Rarely,1,40,3,0,,,12,2,25,7,0,No
53,Female,high,Sales,2,Y,0,Travel_Rarely,2,40,4,0,,,16,4,31,25,3,No
33,Male,medium,Sales,3,Y,0,Travel_Frequently,10,40,4,0,,,14,3,9,7,0,No
40,Male,medium,Sales,2,Y,0,Travel_Rarely,1,40,4,1,Y,1,22,5,6,4,0,No
20,Male,low,Research & Development,1,Y,0,Travel_Rarely,4,40,1,0,,,19,5,1,1,0,Yes
57,Male,high,Research & Development,3,Y,0,Travel_Rarely,24,40,4,0,,,16,4,12,5,1,No
34,Female,medium,Research & Development,1,Y,0,Travel_Rarely,2,40,1,0,,,11,1,6,6,1,No
37,Female,medium,Research & Development,5,Y,1,Travel_Rarely,11,40,2,1,Y,0,15,3,15,1,0,Yes
27,Female,medium,Research & Development,0,Y,1,Travel_Frequently,15,40,1,1,Y,0,19,4,8,7,7,No
39,Male,medium,Research & Development,4,Y,1,Travel_Rarely,12,40,2,1,Y,1,21,5,7,5,1,No
28,Male,low,Research & Development,1,Y,0,Travel_Rarely,9,40,4,0,,,23,5,5,5,0,No
33,Male,low,Research & Development,1,Y,0,Travel_Frequently,3,40,1,1,N,3,11,1,10,10,9,Yes
39,Male,medium,Research & Development,1,Y,0,Non-Travel,1,40,4,0,,,15,3,9,9,5,No
40,Female,low,Research & Development,4,Y,0,Travel_Rarely,2,40,1,0,,,17,4,7,4,0,No
59,Female,high,Research & Development,3,Y,0,Travel_Rarely,2,40,4,0,,,13,2,30,5,4,No
44,Male,high,Research & Development,4,Y,1,Travel_Rarely,3,40,4,0,,,12,1,26,2,0,No
36,Male,medium,Research & Development,2,Y,0,Non-Travel,18,40,4,0,,,20,5,18,11,0,No
24,Male,low,Human Resources,0,Y,1,Travel_Frequently,10,40,4,0,,,14,3,3,2,2,No
22,Female,medium,Research & Development,0,Y,0,Travel_Rarely,3,40,3,0,,,19,4,4,3,0,Yes
36,Male,medium,Research & Development,0,Y,1,Travel_Rarely,14,40,4,0,,,17,4,17,16,4,No
41,Female,medium,Research & Development,6,Y,0,Travel_Rarely,7,40,3,0,,,14,3,8,2,2,No
41,Female,high,Sales,3,Y,1,Travel_Rarely,6,40,4,0,,,18,4,16,1,0,No
27,Male,low,Research & Development,2,Y,1,Travel_Frequently,2,40,4,0,,,13,2,6,4,1,No
45,Male,medium,Research & Development,4,Y,1,Travel_Frequently,7,40,3,0,,,17,4,9,3,0,No
